num_epochs,accuracy,file_name
24,0.978,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=3_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
16,0.972,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=3_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
8,0.9768,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=5_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
14,0.1126,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=5_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
12,0.9748,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=5_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
12,0.979,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=5_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
20,0.9814,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=7_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
5,0.1126,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=7_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
11,0.974,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=7_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
19,0.9768,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=7_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
10,0.9764,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=9_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
27,0.9764,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=9_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
13,0.978,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=9_epochs=100_activationFunction=arctan_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
11,0.9738,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=9_epochs=100_activationFunction=tanh_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
14,0.9806,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=11_epochs=100_activationFunction=ada_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
8,0.1126,output/models/dataset=mnist_nn_architecture=only_cnn_pooling=None_detph=7_width=null_filter=2_kernel=11_epochs=100_activationFunction=sigmoid_stride=1_bias=True_initializer=glorot_uniform_regualizer=None_batchNormalization=False_temperature=1_batchSize=128
